category,name,detail,address,lat,lng
โรงงานอาหารและเครื่องดื่ม,บริษัท สยามแฟ็ทแอนด์ออยลส์ จำกัด,ทำน้ำมันจากพืชหรือสัตว์ หรือไขมันจากสัตว์ให้แข็งโดยการเติมไฮโดรเจน,"เลขที่ - ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.52477,100.1421
โรงงานอาหารและเครื่องดื่ม,บริษัท ไทย พรีเมี่ยม เบเวอร์เรจ จำกัด,ผลิตน้ำดื่ม ผลิตเครื่องดื่มสมุนไพร ผลิตเครื่องดื่มชนิดไม่ผสมแอลกอฮอล์,"เลขที่ 90/91 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5253916, 100.1829408
โรงงานรีไซเคิล,บริษัท ฮุยเนง หงเชง อินดัสทรี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ 27/8 ตำบล นาโคก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.525662, 100.226612
โรงงานประกอบชิ้นส่วน,บริษัท บี.เค.เม็ททอลชีท พระราม2 จำกัด,ทำส่วนประกอบสำหรับใช้ในการก่อสร้าง เช่น หลังคาเม็ททอลชีท,"เลขที่ 200 ตำบล บางกระเจ้า อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5259494, 100.1901286
โรงงานห้องเย็นและชำแหละ,บริษัท ออม ซีฟู้ดส์ จำกัด,ชำแหละเนื้อสัตว์ และเก็บรักษาเนื้อสัตว์ในห้องเย็น,"เลขที่ 8/52 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5260142, 100.2783397
โรงงานอาหารและเครื่องดื่ม,ห้างหุ้นส่วนจำกัด อ.ศิราพล,ทำผลิตภัณฑ์อาหารสำเร็จรูป,"เลขที่ 4/174 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5260671, 100.2821624
โรงงานสารเคมี,บริษัท แอ็ดวานซ์ โรลเลอร์ จำกัด,ผลิตลูกกลิ้งยางสังเคราะห์และซื้อมาขายไปสารเคมีทำความสะอาดเครื่องพิมพ์และผ้ายาง,"เลขที่ 30/48 ตำบล โคกขาม อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5266076, 100.3161126
โรงงานห้องเย็นและชำแหละ,บริษัท กวาง ตู้ ฟูเทียน ฟู้ดส์ จำกัด,ห้องเย็นแช่แข็ง,"เลขที่ 4/23 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.526737,100.281054
อื่นๆ,บริษัท เกรท อินดัสทรี จำกัด,ผลิตกรดไฮโดรคลอริก สารละลายโซเดียมไฮดรอกไซด์ สารละลายโซเดียมไฮโพคลอไรต์ และคลอรีนเหลว,"เลขที่ 85 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5277302, 100.1609412
โรงงานประกอบชิ้นส่วน,บริษัท กู่ มหาชัย จำกัด,ผลิต ประกอบ และจัดจำหน่ายชิ้นส่วนอุปกรณ์ ชิ้นส่วนทดแทน รถจักรยานยนต์,"เลขที่ 45 ตำบล ท่าจีน อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5277475, 100.2553511
